0,0.9235,0.93766
1,0.94,0.95114
2,0.7615,0.7768
3,0.9275,0.9398
4,0.9285,0.94448
5,0.9405,0.95178
6,0.935,0.94776
7,0.8915,0.91014
8,0.942,0.94988
9,0.9265,0.9407
10,0.9325,0.9389
11,0.9405,0.95124
12,0.93,0.94182
13,0.95,0.95618
14,0.913,0.93554
15,0.9255,0.94028
16,0.937,0.94788
17,0.933,0.94564
18,0.918,0.93156
19,0.941,0.94812
20,0.318,0.32746
21,0.905,0.92446
22,0.943,0.95408
23,0.7505,0.76012
24,0.9415,0.94954
25,0.9055,0.92118
26,0.8925,0.91374
27,0.9305,0.94572
28,0.9005,0.91272
29,0.928,0.94396
30,0.885,0.90414
31,0.936,0.95048
32,0.814,0.84974
33,0.8835,0.902
34,0.911,0.9209
35,0.94,0.9498
36,0.9075,0.92588
37,0.942,0.9503
38,0.9105,0.92708
39,0.935,0.94326
40,0.929,0.93812
41,0.9055,0.92532
42,0.921,0.93468
43,0.932,0.94618
44,0.9035,0.91946
45,0.9395,0.94958
46,0.95,0.95566
47,0.889,0.91114
48,0.9445,0.95324
49,0.9345,0.94772
50,0.947,0.95208
51,0.9395,0.95086
52,0.933,0.94046
53,0.897,0.9172
54,0.936,0.94052
55,0.911,0.92792
56,0.923,0.93658
57,0.901,0.91696
58,0.874,0.8989
59,0.9065,0.92448
60,0.9495,0.95404
61,0.926,0.94088
62,0.935,0.94652
63,0.862,0.88208
