0,0.685,0.67462
1,0.7,0.7135
2,0.749,0.753
3,0.74,0.74058
4,0.4975,0.50224
5,0.705,0.71248
6,0.7475,0.75604
7,0.4975,0.50224
8,0.51,0.51304
9,0.4975,0.5022
10,0.7465,0.75516
11,0.4975,0.50224
12,0.7065,0.71252
13,0.745,0.7538
14,0.745,0.75954
15,0.7475,0.76046
16,0.5025,0.49776
17,0.4955,0.5017
18,0.745,0.75362
19,0.753,0.7406
20,0.745,0.7378
21,0.7375,0.7532
22,0.743,0.74652
23,0.7445,0.75184
24,0.7385,0.73994
25,0.725,0.7335
26,0.4975,0.50224
27,0.7295,0.7382
28,0.722,0.73726
29,0.7485,0.75298
30,0.746,0.7543
31,0.4895,0.50066
32,0.5155,0.52192
33,0.7165,0.72836
34,0.485,0.49444
35,0.5005,0.50456
36,0.4975,0.50224
37,0.754,0.7545
38,0.748,0.75144
39,0.707,0.72842
40,0.7195,0.7423
41,0.6815,0.69066
42,0.718,0.72548
43,0.4975,0.50224
44,0.489,0.5041
45,0.703,0.69752
46,0.4975,0.50224
47,0.7045,0.71938
48,0.4975,0.50224
49,0.739,0.75668
50,0.7225,0.72784
51,0.4985,0.5225
52,0.7325,0.74882
53,0.7295,0.73964
54,0.4975,0.50224
55,0.4975,0.50224
56,0.737,0.748
57,0.4975,0.50224
58,0.5045,0.54028
59,0.4795,0.5055
60,0.737,0.74344
61,0.718,0.73114
62,0.4975,0.50224
63,0.724,0.73078
